Alert,Risk Level,CWE ID,URL
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/serve-index/vendor.js
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/sitemap.xml
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/assets/public/favicon_js.ico
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/acquisitions.md
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/announcement_encrypted.md
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/coupons_2013.md.bak
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/eastere.gg
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/encrypt.pyc
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/incident-support.kdbx
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/legal.md
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/package.json.bak
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/quarantine
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/quarantine/juicy_malware_linux_amd_64.url
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/quarantine/juicy_malware_linux_arm_64.url
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/quarantine/juicy_malware_macos_64.url
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/quarantine/juicy_malware_windows_64.exe.url
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/ftp/suspicious_errors.yml
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/assets/public/assets/public/favicon_js.ico
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/assets/public/favicon_js.ico
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/assets/public/main.js
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/assets/public/polyfills.js
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/assets/public/runtime.js
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/assets/public/styles.css
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/assets/public/vendor.js
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/fileServer.js:43:13
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/fileServer.js:59:18
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/main.js
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/polyfills.js
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/runtime.js
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/styles.css
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/build/routes/vendor.js
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/public/assets/public/favicon_js.ico
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/public/favicon_js.ico
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/public/main.js
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/public/polyfills.js
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/public/runtime.js
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/public/styles.css
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/public/vendor.js
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/express/lib/router/index.js:280:10
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/express/lib/router/index.js:286:9
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/express/lib/router/index.js:328:13
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/express/lib/router/index.js:365:14
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/express/lib/router/index.js:376:14
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/express/lib/router/index.js:421:3
