Alert,Risk Level,CWE ID,URL,Alert_encoded,Risk_encoded
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/ftp,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/ftp/,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/ftp/coupons_2013.md.bak,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/ftp/eastere.gg,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/ftp/encrypt.pyc,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/ftp/package.json.bak,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/ftp/quarantine,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/ftp/suspicious_errors.yml,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/build/routes/assets/public/assets/public/favicon_js.ico,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/build/routes/assets/public/favicon_js.ico,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/build/routes/assets/public/main.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/build/routes/assets/public/polyfills.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/build/routes/assets/public/runtime.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/build/routes/assets/public/styles.css,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/build/routes/assets/public/vendor.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/build/routes/fileServer.js:43:13,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/build/routes/fileServer.js:59:18,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/build/routes/main.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/build/routes/polyfills.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/build/routes/runtime.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/build/routes/styles.css,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/build/routes/vendor.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/public/assets/public/favicon_js.ico,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/public/favicon_js.ico,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/public/main.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/public/polyfills.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/public/runtime.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/public/styles.css,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/express/lib/router/assets/public/vendor.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/express/lib/router/index.js:280:10,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/express/lib/router/index.js:286:9,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/express/lib/router/index.js:328:13,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/express/lib/router/index.js:365:14,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/express/lib/router/index.js:376:14,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/express/lib/router/index.js:421:3,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/express/lib/router/layer.js:95:5,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/express/lib/router/main.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/express/lib/router/polyfills.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/express/lib/router/runtime.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/express/lib/router/styles.css,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/express/lib/router/vendor.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/serve-index/assets/public/assets/public/favicon_js.ico,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/serve-index/assets/public/favicon_js.ico,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/serve-index/assets/public/main.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/serve-index/assets/public/polyfills.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/serve-index/assets/public/runtime.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/serve-index/assets/public/styles.css,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/serve-index/assets/public/vendor.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/serve-index/index.js:145:39,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/serve-index/main.js,0,4
Content Security Policy (CSP) Header Not Set,Medium (High),693,http://localhost:3000/juice-shop/node_modules/serve-index/polyfills.js,0,4
